domain,key,context,locale,source_text,expected_text,human_reviewed,text
form,admin_menu_item.description,,hu-HU,Admin menu item,Admin menü elem,0,Admin menü elem
form,admin_menu_item.name,,hu-HU,Admin menu item,Admin menü elem,0,Admin menü elem
form,blog.description,,hu-HU,Blog post,Blogbejegyzés,0,Blogbejegyzés
form,blog.name,,hu-HU,Blog post,Blogbejegyzés,0,Blogbejegyzés
form,close_page.close_window,,hu-HU,Close this window!,Zárd be ezt az ablakot!,0,Zárd be ezt az ablakot!
form,close_page.title,,hu-HU,Close page,Bezáró oldal,0,Bezáró oldal
form,form_settings.description,,hu-HU,Select which form to display,"Válaszd ki, melyik űrlap jelenjen meg",0,"Válaszd ki, melyik űrlap jelenjen meg"
form,form_settings.name,,hu-HU,Form settings,Űrlap beállításai,0,Űrlap beállításai
form,form_settings.title,,hu-HU,Select form,Űrlap kiválasztása,0,Űrlap kiválasztása
form,js_tree_settings.description,,hu-HU,Select which tree to display,"Válaszd ki, melyik fa jelenjen meg",0,"Válaszd ki, melyik fa jelenjen meg"
form,js_tree_settings.name,,hu-HU,Tree settings,Fa beállítások,0,Fa beállítások
form,js_tree_settings.title,,hu-HU,Select tree,Fa kiválasztása,0,Fa kiválasztása
form,main_menu_item.description,,hu-HU,Main menu item,Főmenü elem,0,Főmenü elem
form,main_menu_item.name,,hu-HU,Main menu item,Főmenü elem,0,Főmenü elem
form,plain_html.description,,hu-HU,HTML code (embed),HTML kód (beágyazás),0,HTML kód (beágyazás)
form,plain_html.name,,hu-HU,HTML code (embed),HTML kód (beágyazás),0,HTML kód (beágyazás)
form,rich_text_select.description,,hu-HU,Select text content,Szöveges tartalom kiválasztása,0,Szöveges tartalom kiválasztása
form,rich_text_select.name,,hu-HU,Select text content,Szöveges tartalom kiválasztása,0,Szöveges tartalom kiválasztása
form,rich_text.description,,hu-HU,Text content,Szöveges tartalom,0,Szöveges tartalom
form,rich_text.name,,hu-HU,Text content,Szöveges tartalom,0,Szöveges tartalom
form,role.description,,hu-HU,Role,Szerep,0,Szerep
form,role.name,,hu-HU,Role,Szerep,0,Szerep
form,tag.description,,hu-HU,Tag,Címke,0,Címke
form,tag.name,,hu-HU,Tag,Címke,0,Címke
form,theme_selector.description,,hu-HU,Select which theme renders each layout,"Válaszd ki, hogy az egyes layoutokat melyik téma jelenítse meg",0,"Válaszd ki, hogy az egyes layoutokat melyik téma jelenítse meg"
form,theme_selector.name,,hu-HU,Theme selection,Témák kiválasztása,0,Témák kiválasztása
