domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,de_DE,"Export CSV","CSV exportieren",0,"CSV exportieren"
import_export,action.preview_import,,de_DE,"Preview import",Importvorschau,0,Importvorschau
import_export,action.run_import,,de_DE,"Run import","Import ausführen",0,"Import ausführen"
import_export,dataset.i18n_translations.description,,de_DE,"Export and import translation rows as CSV.","Übersetzungszeilen als CSV exportieren und importieren.",0,"Übersetzungszeilen als CSV exportieren und importieren."
import_export,dataset.i18n_translations.name,,de_DE,"I18n translations",I18n-Übersetzungen,0,I18n-Übersetzungen
import_export,error.dataset_not_found,,de_DE,"Import/export dataset not found.","Import-/Export-Datensatz nicht gefunden.",0,"Import-/Export-Datensatz nicht gefunden."
import_export,error.file_read,,de_DE,"Unable to read the uploaded CSV file.","Die hochgeladene CSV-Datei konnte nicht gelesen werden.",0,"Die hochgeladene CSV-Datei konnte nicht gelesen werden."
import_export,error.file_required,,de_DE,"Please select a CSV file to import.","Bitte wähle eine CSV-Datei zum Importieren aus.",0,"Bitte wähle eine CSV-Datei zum Importieren aus."
import_export,error.invalid_format,,de_DE,"Invalid format","Ungültiges Format",0,"Ungültiges Format"
import_export,error.invalid_mode,,de_DE,"Invalid import mode.","Ungültiger Importmodus.",0,"Ungültiger Importmodus."
import_export,error.locale_required,,de_DE,"Locale is required for export.","Für den Export ist ein Locale erforderlich.",0,"Für den Export ist ein Locale erforderlich."
import_export,export.title,,de_DE,"Export CSV","CSV exportieren",0,"CSV exportieren"
import_export,field.dataset.label,,de_DE,Dataset,Datensatz,0,Datensatz
import_export,field.expect_locale.any,,de_DE,"Any locale in file","Beliebiges Locale in der Datei",0,"Beliebiges Locale in der Datei"
import_export,field.expect_locale.help,,de_DE,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Für insert_new und upsert optional. Im Sync-Modus sollte dies normalerweise explizit gesetzt werden; dort wird immer ein Single-Locale-Slice verwendet, auch beim Import von Wide-CSV.",0,"Für insert_new und upsert optional. Im Sync-Modus sollte dies normalerweise explizit gesetzt werden; dort wird immer ein Single-Locale-Slice verwendet, auch beim Import von Wide-CSV."
import_export,field.expect_locale.label,,de_DE,"Expected locale","Erwartetes Locale",0,"Erwartetes Locale"
import_export,field.file.help,,de_DE,"Upload a CSV file exported from the same dataset.","Lade eine CSV-Datei hoch, die aus demselben Datensatz exportiert wurde.",0,"Lade eine CSV-Datei hoch, die aus demselben Datensatz exportiert wurde."
import_export,field.file.label,,de_DE,"CSV file",CSV-Datei,0,CSV-Datei
import_export,field.format.help,,de_DE,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","Normalized behält eine Zeile pro Locale. Wide gruppiert die Locales in text:<locale>-Spalten.",0,"Normalized behält eine Zeile pro Locale. Wide gruppiert die Locales in text:<locale>-Spalten."
import_export,field.format.label,,de_DE,Format,Format,0,Format
import_export,field.locale.all,,de_DE,"All locales","Alle Locales",0,"Alle Locales"
import_export,field.locale.help,,de_DE,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.","Leer lassen, um alle Locales zu exportieren, oder ein Locale für eine kleinere Datei wählen. Das Wide-Format legt Locale-Werte in text:<locale>-Spalten ab.",0,"Leer lassen, um alle Locales zu exportieren, oder ein Locale für eine kleinere Datei wählen. Das Wide-Format legt Locale-Werte in text:<locale>-Spalten ab."
import_export,field.locale.label,,de_DE,Locale,Locale,0,Locale
import_export,field.mode.help,,de_DE,"Sync is destructive: it deletes rows missing from the imported locale slice and only supports single-locale files.","Sync ist destruktiv: Es löscht Zeilen, die im importierten Locale-Slice fehlen, und unterstützt nur Dateien mit einem einzelnen Locale.",0,"Sync ist destruktiv: Es löscht Zeilen, die im importierten Locale-Slice fehlen, und unterstützt nur Dateien mit einem einzelnen Locale."
